Transect No.,County,Site,Site function,Transect type,Drag round,Year,Date,Habitat type CONCAT,Temp (F),RH (%),Longitude Start,Latitude Start,GPS Start,GPS End,Start Time,End Time,Collectors,Amblyomma americanum ADULT,Amblyomma americanum NYMPH,Amblyomma americanum LARVA,Amblyomma maculatum ADULT,Amblyomma maculatum NYMPH,Amblyomma maculatum LARVA,Dermacentor albipictus ADULT,Dermacentor albipictus NYMPH,Dermacentor albipictus LARVA,Dermacentor variabilis ADULT,Dermacentor variabilis NYMPH,Dermacentor variabilis LARVA,Haemaphysalis leporispalustris ADULT,Haemaphysalis leporispalustris NYMPH,Haemaphysalis leporispalustris LARVA,Haemaphysalis longicornis ADULT,Haemaphysalis longicornis NYMPH,Haemaphysalis longicornis LARVA,Ixodes scapularis ADULT,Ixodes scapularis NYMPH,Ixodes scapularis LARVA,Rhipicephalus sanguineus ADULT,Rhipicephalus sanguineus NYMPH,Rhipicephalus sanguineus LARVA,Unknown ADULT,Unknown NYMPH,Unknown LARVA,Unknown UNKNOWN,Total,Overall Notes
23-0011,Nassau,Roosevelt Preserve,Mixed Use,Edge,1,2023,Jun/05/2023,"Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",75,38,-73.5799895,40.6857309,"40.6857309, -73.5799895","40.6864209, -73.5753734",4:30 PM,4:42 PM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no real trail here
23-0012,Nassau,Roosevelt Preserve,Mixed Use,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, not dragged, not dragged, not dragged, not dragged, not dragged",75,38,-73.5735757,40.68338,"40.683380, -73.5735757","40.6830022, -73.5733235",4:52 PM,5:02 PM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,???; lots of trash
23-3020,Nassau,Roosevelt Preserve,Mixed Use,Edge,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",75,38,-73.5746308,40.6846692,"40.6846692, -73.5746308","40.6848441, -73.5741319",4:30 PM,4:45 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-3021,Nassau,Roosevelt Preserve,Mixed Use,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, not dragged, not dragged, not dragged, not dragged, not dragged, not dragged, not dragged",75,38,-73.5741319,40.6848441,"40.6848441, -73.5741319","40.6845034, -73.5748598",4:44 PM,4:58 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6016,Nassau,Roosevelt Preserve,Preserve/park,Edge,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,38,-73.5752846,40.6845632,"40.6845632, -73.5752846","40.6854881, -73.5750660",4:29 PM,4:40 PM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6017,Nassau,Roosevelt Preserve,Preserve/park,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, -, -, -, -, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,38,-73.575241,40.684554,"40.6845540, -73.5752410","40.6854182, -73.5752118",4:44 PM,5:01 PM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
23-9016,Nassau,Roosevelt Preserve,Mixed Use,Edge,1,2023,Jun/05/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",75,38,-73.5740631,40.6836385,"40.6836385, -73.5740631","40.6841159, -73.5747297",4:27 PM,4:41 PM,MM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-9017,Nassau,Roosevelt Preserve,Mixed Use,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,38,-73.5738834,40.6836649,"40.6836649, -73.5738834","40.6841670, -73.5742750",4:50 PM,5:09 PM,MM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6024,Nassau,Sands Point Preserve,Park,Trail,1,2023,Jun/07/2023,"Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",60,59,-73.6959437,40.8622169,"40.8622169, -73.6959437","40.8627359, -73.6958039",9:00 AM,9:18 AM,RK,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,cloth became damp
23-6025B,Nassau,Sands Point Preserve,Park,Interior,1,2023,Jun/07/2023,"Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Leaf Litter",60,59,-73.695893,40.8622009,"40.8622009, -73.695893","40.8625820, -73.6953758",9:26 AM,9:49 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-0019,Nassau,Sands Point Preserve,Preserve,Trail,1,2023,Jun/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Leaf Litter",62,57,-73.69578,40.86184,"40.86184, -73.69578","40.86136, -73.69483",9:00 AM,9:27 AM,Marie Lilly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,17,
23-0020,Nassau,Sands Point Preserve,Preserve,Interior,1,2023,Jun/07/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",62,57,,,,,9:28 AM,9:47 AM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,The AF crawled off [illegible]
23-2001,Nassau,Sands Point Preserve,Preserve,Interior,1,2023,Jun/07/2023,"Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",61,56,-73.69577,40.86087,"40.86087, -73.69577","40.86005, -73.69557",9:00 AM,9:25 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,
23-2002,Nassau,Sands Point Preserve,Preserve,Trail,1,2023,Jun/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",61,56,-73.69581,40.85991,"40.85991, -73.69581","40.86086, -73.69615",9:25 AM,9:40 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-3027,Nassau,Sands Point Preserve,Preserve,Trail,1,2023,Jun/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",60,59,-73.6963595,40.8617326,"40.8617326, -73.6963595","40.8606290, -73.6959015",8:58 AM,9:16 AM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,soil is/was recently wet
23-3028,Nassau,Sands Point Preserve,Preserve,Interior,1,2023,Jun/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",60,59,-73.6959585,40.8605038,"40.8605038, -73.6959585","40.8612896, -73.6957949",9:19 AM,9:40 AM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,mostly wet/ damp leaf litter(whole transect)
23-1014,Suffolk,Schuyler County Park,,Trail,1,2023,Jun/05/2023,"Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter",59.9,60,-72.9064513,40.8104272,"40.8104272, -72.9064513","40.8097176, -72.90675337",8:40 AM,9:03 AM,SJL,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.7 mph wind
23-1015,Suffolk,Schuyler County Park,,Trail,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",59.9,60,-72.9066776,40.8096545,"40.8096545, -72.9066776","40.8092769, -72.9059004",9:07 AM,9:28 AM,SJL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
23-1016,Suffolk,Schuyler County Park,,Trail,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",59.9,60,-72.9057147,40.8092776,"40.8092776, -72.9057147","40.8101800, -72.9069981",9:38 AM,10:24 AM,SJL,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,
23-5009,Suffolk,Schuyler County Park,,Interior,1,2023,Jun/05/2023,"Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",59.6,60.2,-72.906427,40.810464,"40.810464, -72.906427","40.809861, -72.906877",8:26 AM,,JM,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18,1.29 mph
23-5010,Suffolk,Schuyler County Park,,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",59.6,60.2,-72.906929,40.809741,"40.809741, -72.906929","40.809159, -72.907091",9:21 AM,,JM,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,"was using survey 123, but form wouldn't submit from drafts"
23-5011,Suffolk,Schuyler County Park,,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",61.4,56.6,-72.906557,40.810419,"40.810419, -72.906557","40.809947, -72.906898",10:08 AM,10:33 AM,JM,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0.6mph wind
23-1131,Suffolk,Schuyler County Park,,Trail,2,2023,Jul/07/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",78.3,82.9,-72.90662111,40.81051925,"40.8105192506326, -72.9066211079271",,12:16 PM,,Lee,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA
23-1132,Suffolk,Schuyler County Park,,Interior,2,2023,Jul/07/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",0,0,-72.9073584,40.80982973,"40.8098297261527, -72.9073584000815",,12:38 PM,,Lee,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,109,NA
23-4140,Suffolk,Schuyler County Park,Park,Trail,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",76.9,81,-72.90543,40.81086,"40.81086, -72.90543","40.81066, -72.90631",8:17 AM,8:36 AM,KP,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,14,0.0mph wind
23-4141,Suffolk,Schuyler County Park,Park,Interior,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",76.9,81,-72.90642,40.81045,"40.81045, -72.90642",40.81066. -72.90573,8:39 AM,9:00 AM,KP,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,0.0mph wind
23-5149,Suffolk,Schuyler County Park,Park,Trail,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",76.9,81,-72.906522,40.8104142,"40.8104142, -72.9065220","40.8092824, -72.9064838",8:29 AM,8:39 AM,JM,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,
23-5150,Suffolk,Schuyler County Park,Park,Interior,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",76.9,81,-72.9064704,40.8092081,"40.8092081, -72.9064704","40.8096504, -72.9067262",8:42 AM,8:56 AM,JM,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,
23-1017,Suffolk,Southaven County Park,,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",67.9,48.2,-72.8952876,40.8159521,"40.8159521, -72.8952876","40.8166227, -72.8957995",11:49 AM,12:14 PM,SJL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-1018,Suffolk,Southaven County Park,,Interior,1,2023,Jun/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",67.9,48.2,-72.8970085,40.8168169,"40.8168169, -72.8970085","40.8163885, -72.8978373",12:26 PM,12:49 PM,SJL,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11,
23-1019,Suffolk,Southaven County Park,,Edge,1,2023,Jun/05/2023,"Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",71.5,36.8,-72.8933151,40.8133804,"40.8133804, -72.8933151","40.812866, -72.8934238",1:06 PM,1:26 PM,SJL,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
23-5012,Suffolk,Southaven County Park,,Trail,1,2023,Jun/05/2023,"Maintained grass and leaf litter, Maintained grass and leaf litter, Leaf Litter, Maintained grass and leaf litter, Leaf Litter, Leaf Litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter",70.2,49.5,-72.895194,40.815972,"40.815972, -72.895194","40.816744, -72.895504",11:48 AM,12:17 PM,JM,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
23-5013,Suffolk,Southaven County Park,,Trail,1,2023,Jun/05/2023,"Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Leaf Litter",70.2,49.5,-72.897006,40.816898,"40.816898, -72.897006","40.816506, -72.897826",12:23 PM,12:49 PM,JM,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,
23-5014,Suffolk,Southaven County Park,,Edge,1,2023,Jun/05/2023,"Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter, Maintained grass and leaf litter",76.3,37.1,-72.893528,40.814341,"40.814341, -72.893528","40.813620, -72.894183",1:06 PM,1:32 PM,JM,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,
23-1133,Suffolk,Southaven County Park,,Trail,2,2023,Jul/07/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",80.8,75.1,-72.89776175,40.8121101,"40.8121100992683, -72.8977617497647",,1:26 PM,,Lee,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,24,NA
23-1134,Suffolk,Southaven County Park,,Interior,2,2023,Jul/07/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",80.8,75.1,-72.89852299,40.81268976,"40.8126897640295, -72.8985229907358",,1:53 PM,,Lee,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,32,NA
23-1135,Suffolk,Southaven County Park,,Trail,2,2023,Jul/07/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",80.8,75.1,-72.89821862,40.81347144,"40.8134714358151, -72.8982186219082",,2:16 PM,,Lee,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18,NA
23-4142,Suffolk,Southaven County Park,Park,Edge,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",82.4,72.2,-72.89348,40.80819,"40.80819, -72.89348","40.80821, -72.89427",9:27 AM,9:43 AM,KP,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,playground0.0mph wind
23-4143,Suffolk,Southaven County Park,Park,Edge,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter",82.4,72.2,-72.89444,40.80835,"40.80835, -72.89444","40.80824, -72.89533",9:45 AM,9:56 AM,KP,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0mph wind
23-4144,Suffolk,Southaven County Park,Park,Edge,2,2023,Jul/07/2023,"Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",82.4,72.2,-72.89582,40.80779,"40.80779, -72.89582","40.90712, -72.89620",9:59 AM,10:12 AM,KP,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,
23-5151,Suffolk,Southaven County Park,Park,Trail,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",79.7,75.5,-72.8959025,40.8110834,"40.8110834, -72.8959025","40.8117581, -72.8972885",9:35 AM,9:53 AM,JM,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,29,fence surrounding park1.2mph wind
23-5152,Suffolk,Southaven County Park,Park,Interior,2,2023,Jul/07/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",79.7,75.5,-72.8969385,40.8116574,"40.8116574, -72.8969385","40.8112374, -72.8963822",9:57 AM,10:13 AM,JM,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,47,tall and dense vegetation (huckleberry type)1.2mph wind
