Transect No,Species,Stage,Sex (if adult)
25-0057-1,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-2,Amblyomma americanum,Adult,
25-0057-2,Amblyomma americanum,Adult,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-1,Ixodes scapularis,Nymph,
25-0050-2,Amblyomma americanum,Adult,Male
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-2,Amblyomma americanum,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
25-0057-2,Haemaphysalis longicornis,Nymph,
25-0057-2,Haemaphysalis longicornis,Larva,
25-2201,Ixodes scapularis,Nymph,
25-2201,Ixodes scapularis,Nymph,
25-2201,Ixodes scapularis,Adult,
25-2202,Ixodes scapularis,Nymph,
25-1107-1,Ixodes scapularis,Nymph,
25-1107-2,Amblyomma americanum,Nymph,
25-1107-2,Amblyomma americanum,Nymph,
25-1107-2,Amblyomma americanum,Adult,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-2078-1,Ixodes scapularis,Nymph,
25-2078-2,Amblyomma maculatum,Adult,
25-2078-2,Amblyomma americanum,Nymph,
25-2078-2,Haemaphysalis longicornis,Nymph,
25-2090-1,Ixodes scapularis,Nymph,
25-2090-1,Ixodes scapularis,Nymph,
25-2090-1,Ixodes scapularis,Nymph,
25-2090-2,Amblyomma americanum,Nymph,
25-2090-2,Haemaphysalis longicornis,Nymph,
25-1107-1,Ixodes scapularis,Nymph,
25-1107-1,Ixodes scapularis,Nymph,
25-1107-1,Ixodes scapularis,Nymph,
25-1107-1,Ixodes scapularis,Nymph,
25-1107-1,Ixodes scapularis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1107-2,Haemaphysalis longicornis,Nymph,
25-1106-1,Ixodes scapularis,Nymph,
25-1106-1,Ixodes scapularis,Nymph,
25-1106-2,Amblyomma americanum,Nymph,
25-1106-2,Amblyomma americanum,Nymph,
25-1106-2,Amblyomma americanum,Adult,
25-1106-2,Haemaphysalis longicornis,Nymph,
25-1106-2,Haemaphysalis longicornis,Nymph,
25-1106-2,Haemaphysalis longicornis,Nymph,
25-2103-1,Ixodes scapularis,Nymph,
25-2103-1,Ixodes scapularis,Nymph,
25-2103-2,Amblyomma americanum,Adult,
25-2103-2,Amblyomma americanum,Adult,
25-2103-2,Amblyomma americanum,Adult,
25-2103-2,Amblyomma americanum,Nymph,
SL-0022-1,Ixodes scapularis,Nymph,
SL-0022-1,Ixodes scapularis,Nymph,
SL-0022-2,Amblyomma americanum,Adult,
SL-0023,Dermacentor albipictus,Adult,
SL-0023,Dermacentor albipictus,Adult,
SL-0023,Dermacentor albipictus,Adult,
25-1131,Ixodes scapularis,Nymph,
25-1130,Ixodes scapularis,Nymph,
25-2100-1,Ixodes scapularis,Nymph,
25-2100-1,Ixodes scapularis,Nymph,
25-2100-1,Ixodes scapularis,Nymph,
25-2100-1,Ixodes scapularis,Nymph,
25-0101,Ixodes scapularis,Nymph,
25-0101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2101,Ixodes scapularis,Nymph,
25-2079-1,Amblyomma americanum,Nymph,
25-2079-2,Amblyomma americanum,Nymph,
25-2079-2,Amblyomma americanum,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-2,Amblyomma americanum,Nymph,
25-0020,Dermacentor albipictus,Adult,Male
25-0020,Dermacentor albipictus,Adult,Female
25-0020,Dermacentor albipictus,Adult,Female
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1110,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1111,Ixodes scapularis,Nymph,
25-1113,Ixodes scapularis,Adult,Male
25-0100-1,Ixodes scapularis,Nymph,
25-0100-2,Amblyomma americanum,Nymph,
25-0100-2,Amblyomma americanum,Nymph,
25-0100-2,Amblyomma americanum,Nymph,
25-0100-2,Amblyomma americanum,Nymph,
25-2080,Ixodes scapularis,Nymph,
25-2080,Ixodes scapularis,Nymph,
25-2080,Ixodes scapularis,Nymph,
25-0102-1,Ixodes scapularis,Nymph,
25-0102-2,Amblyomma americanum,Nymph,
SL-0021-1,Ixodes scapularis,Nymph,
SL-0021-1,Ixodes scapularis,Nymph,
SL-0021-1,Ixodes scapularis,Nymph,
SL-0021-1,Ixodes scapularis,Nymph,
SL-0021-1,Ixodes scapularis,Nymph,
SL-0021-2,Amblyomma americanum,Adult,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0115,Ixodes scapularis,Nymph,
25-0117-1,Ixodes scapularis,Nymph,
25-0117-1,Ixodes scapularis,Nymph,
25-0117-1,Ixodes scapularis,Nymph,
25-0117-1,Ixodes scapularis,Nymph,
25-0117-1,Ixodes scapularis,Nymph,
25-0117-2,Haemaphysalis longicornis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-1,Ixodes scapularis,Nymph,
25-0114-2,Haemaphysalis longicornis,Nymph,
25-2041-1,Ixodes scapularis,Nymph,
25-2041-1,Ixodes scapularis,Nymph,
25-2041-2,Amblyomma americanum,Adult,Female
25-2041-2,Amblyomma americanum,Adult,Male
25-2041-2,Amblyomma americanum,Adult,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Amblyomma americanum,Nymph,
25-2041-2,Haemaphysalis longicornis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-1,Ixodes scapularis,Nymph,
25-2027-2,Haemaphysalis longicornis,Nymph,
25-0042/2042,Ixodes scapularis,Adult,Female
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Nymph,
25-0042/2042,Ixodes scapularis,Larva,
25-0042/2042,Ixodes scapularis,Larva,
25-0042/2042,Ixodes scapularis,Larva,
25-0042/2042,Ixodes scapularis,Larva,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Nymph,
24-1062,Ixodes scapularis,Adult,
24-1062,Ixodes scapularis,Adult,
25-1001-1,Ixodes scapularis,Nymph,
25-1001-1,Ixodes scapularis,Nymph,
25-1001-1,Ixodes scapularis,Nymph,
25-1001-2,Amblyomma americanum,Nymph,Female
25-1001-2,Amblyomma americanum,Nymph,Female
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Amblyomma americanum,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Nymph,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1001-2,Haemaphysalis longicornis,Larva,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Amblyomma americanum,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Haemaphysalis longicornis,Nymph,
25-1381,Amblyomma americanum,Adult,Male
25-1360,Amblyomma americanum,Nymph,
25-2467,Ixodes scapularis,Nymph,
25-2467,Amblyomma americanum,Adult,Male
25-2467,Amblyomma americanum,Adult,Female
25-2467,Haemaphysalis longicornis,Nymph,
25-2467,Haemaphysalis longicornis,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2467,Amblyomma americanum,Nymph,
25-2466,Amblyomma americanum,Nymph,
25-2466,Amblyomma americanum,Nymph,
25-2466,Amblyomma americanum,Nymph,
25-2466,Amblyomma americanum,Nymph,
25-2466,Amblyomma americanum,Nymph,
25-2466,Haemaphysalis longicornis,Nymph,
25-1372,Amblyomma americanum,Nymph,
