Site,Transect type,Date,Transect No.,Section,Habitat type,Temperature,Relative Humidity,GPS Start,GPS End,Start Time,End Time,Collector,Notes
Horatio Playground,Edge,Jun/16/2025,25-2301,5,Maintained grass and unmaintained herb and leaf litter,65.1,76.2,"40.7589729, -73.7538379","40.7586646, -73.7546573",7:35 AM,,Stephen Lewis,"Sections 4-5 cross a trail, ground very wet"
Horatio Playground,Edge,Jun/16/2025,25-2301,6,Maintained grass and unmaintained herb and leaf litter,65.1,76.2,"40.7589729, -73.7538379","40.7586646, -73.7546573",7:35 AM,,Stephen Lewis,Ground very wet
Horatio Playground,Edge,Jun/16/2025,25-2301,7,Maintained grass and unmaintained herb and leaf litter,65.1,76.2,"40.7589729, -73.7538379","40.7586646, -73.7546573",7:35 AM,,Stephen Lewis,Ground very wet
Horatio Playground,Edge,Jun/16/2025,25-2301,8,Maintained grass and unmaintained herb and leaf litter,65.1,76.2,"40.7589729, -73.7538379","40.7586646, -73.7546573",7:35 AM,,Stephen Lewis,Ground very wet
Horatio Playground,Edge,Jun/16/2025,25-2301,9,Maintained grass and unmaintained herb and leaf litter,65.1,76.2,"40.7589729, -73.7538379","40.7586646, -73.7546573",7:35 AM,,Stephen Lewis,Ground very wet
Horatio Playground,Edge,Jun/16/2025,25-2301,10,Maintained grass and unmaintained herb and leaf litter,65.1,76.2,"40.7589729, -73.7538379","40.7586646, -73.7546573",7:35 AM,,Stephen Lewis,Ground very wet
Horatio Playground,Edge,Jun/16/2025,25-2302,1,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,2,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,3,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,4,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,5,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,6,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,7,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,8,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,9,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Edge,Jun/16/2025,25-2302,10,Maintained grass and unmaintained herbaceous,65.1,76.2,"40.7589602, -73.7537648","40.7590498, -73.7530842",7:51 AM,,Stephen Lewis,Ground cover extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,1,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,2,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,3,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,4,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,5,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,6,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,7,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,8,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,Extremely wet
Horatio Playground,Interior,Jun/16/2025,25-2303,9,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,"Extremely wet, trail too dense to continue"
Horatio Playground,Interior,Jun/16/2025,25-2303,10,Unmaintained herbaceous and leaf litter,67.8,72.3,"40.7591148, -73.7543673","40.7596735, -73.7539146",8:08 AM,,Stephen Lewis,"Extremely wet, trail too dense to continue"
Horatio Playground,Edge,Jun/21/2025,25-2401,1,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,2,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,3,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,4,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,5,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,6,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,7,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,8,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,9,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:01 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2401,10,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7586963, -73.7544809","40.7589320, -73.7540994",7:15 AM,7:15 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,1,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,2,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,3,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,4,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,5,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,6,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,7,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,8,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,9,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Edge,Jun/21/2025,25-2402,10,Maintained grass and unmaintained herb and leaf litter,73.2,61.5,"40.7589320, -73.7540994","40.7588068, -73.7531948",7:15 AM,7:31 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,1,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,2,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,3,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,4,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,5,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,6,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,7,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,8,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,9,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Horatio Playground,Interior,Jun/21/2025,25-2403,10,Unmaintained herbaceous and leaf litter,73.9,73.0,"40.7594455, -73.7548766","40.7596906, -73.7538798",7:38 AM,7:50 AM,Stephen Lewis,
Jones Woods,Trail,Jun/04/2025,SL-0011,1,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,2,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,3,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,4,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,5,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,6,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,7,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,8,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,9,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0011,10,Unmaintained herbaceous,78.7,51.9,"40.6364987, -74.090813","40.6363375, -74.0914086",12:39 PM,12:59 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,1,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,2,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,3,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,Accidentally got a spider in section 3
Jones Woods,Trail,Jun/04/2025,SL-0012,4,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,5,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,6,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,7,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,8,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,9,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,SL-0012,10,Unmaintained herbaceous,81.3,56.3,"40.6363375, -74.0914056","40.6367480, -74.0911411",1:07 PM,1:25 PM,Sharon Lin,
Jones Woods,Trail,Jun/04/2025,25-0037,1,Unmaintained herbaceous,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,2,Unmaintained herbaceous,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,3,Unmaintained herbaceous and leaf litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,4,Unmaintained herbaceous and leaf litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,5,Leaf Litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,6,Leaf Litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,7,Leaf Litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,8,Leaf Litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,9,Leaf Litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Trail,Jun/04/2025,25-0037,10,Leaf Litter,80.8,62.2,"40.6371694, -74.0903150","40.6373396, -74.0894864",12:30 PM,1:00 PM,Rob Gullery,Heavily wooded trail. Tall grasses/mugwort
Jones Woods,Interior,Jun/04/2025,25-0038,1,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,2,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,3,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,4,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,5,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,6,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,7,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,8,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,9,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Interior,Jun/04/2025,25-0038,10,Unmaintained herbaceous and leaf litter,77.8,47.8,40.6368391. -74.0897235,"40.6371508, -74.0892957",12:00 PM,,Rob Gullery,
Jones Woods,Trail,Jun/04/2025,25-1052,1,Unmaintained herbaceous,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,2,Unmaintained herbaceous,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,3,Unmaintained herbaceous,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,4,Unmaintained herbaceous,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,5,Unmaintained herbaceous,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,6,Unmaintained herbaceous and leaf litter,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,7,Unmaintained herbaceous and leaf litter,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,8,Unmaintained herbaceous and leaf litter,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,9,Unmaintained herbaceous and leaf litter,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Trail,Jun/04/2025,25-1052,10,Leaf Litter,78.7,49.0,"40.6361501, -74.0909339","40.6358774, -74.0919477",12:33 PM,12:50 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,1,Leaf Litter,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,2,Leaf Litter,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,3,Leaf Litter,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,4,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,5,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,6,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,7,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,8,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,9,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-1053,10,Unmaintained herbaceous,79.5,48.3,"40.6359641, -74.0917483","40.6361455, -74.0810422",12:55 PM,1:17 PM,Noah Edelman,
Jones Woods,Interior,Jun/04/2025,25-2025,1,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,2,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,3,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,4,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,5,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,6,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,7,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,8,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,9,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2025,10,Unmaintained herbaceous and leaf litter,78.7,51.9,"40.6365028, -74.0901074","40.6363356, -74.0909765",12:35 PM,12:57 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,1,Unmaintained herbaceous,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,2,Unmaintained herbaceous,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,3,Unmaintained herbaceous,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,4,Unmaintained herbaceous,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,5,Unmaintained herbaceous,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,6,Unmaintained herbaceous and leaf litter,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,7,Unmaintained herbaceous and leaf litter,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
Jones Woods,Interior,Jun/04/2025,25-2026,8,Unmaintained herbaceous and leaf litter,79.9,53.5,"40.6363158, -74.0910455","40.6361880, -74.0919266",12:59 PM,1:20 PM,Stephen Lewis,
